Week,Line,Location,Incident,Min Delay,Min Gap,Vehicle,has_delay,Year,Month,Day_of_Month,Hour,Minute,Bound_B,Bound_E,Bound_N,Bound_S,Bound_W
1,0.15548057632682838,0.001623669,12,10,20,8681,0,2024,1,4,0,29,0,0,1,0,0
1,0.20390297282509576,0.004329785,11,17,24,4558,1,2024,1,4,0,44,0,0,1,0,0
1,0.10404887835126755,0.005592639,0,10,20,4487,0,2024,1,4,0,47,0,0,0,0,0
1,0.15548057632682838,9.020386072523904e-05,3,15,25,4493,0,2024,1,5,3,19,0,1,0,0,0
1,0.010760532555170527,0.003427747,3,17,25,8775,1,2024,1,5,3,56,0,1,0,0,0
1,0.20390297282509576,0.000180408,8,5,10,8205,0,2024,1,5,4,28,0,1,0,0,0
1,0.010760532555170527,0.006224066,11,30,60,8800,1,2024,1,5,4,42,0,0,0,0,0
1,0.12666423490789713,0.010734259426303445,8,15,33,4442,0,2024,1,5,5,0,0,0,0,0,0
1,0.12666423490789713,0.010734259426303445,3,10,20,4600,0,2024,1,5,6,11,0,0,0,0,0
1,0.20390297282509576,0.004329785,11,6,14,4499,0,2024,1,5,7,1,0,0,1,0,0
1,0.20390297282509576,9.020386072523904e-05,8,8,16,4486,0,2024,1,5,7,18,0,1,0,0,0
1,0.064380813,0.002525708,2,20,30,4463,1,2024,1,5,7,25,0,0,0,0,0
1,0.15548057632682838,0.002525708,2,22,32,4410,1,2024,1,5,7,26,0,1,0,0,0
1,0.20390297282509576,0.000451019,7,9,18,7104,0,2024,1,5,7,57,0,0,0,1,0
1,0.15548057632682838,0.007577124,7,8,16,4440,0,2024,1,5,8,49,0,0,0,0,1
1,0.047966441728980486,0.003157135,4,0,0,4515,0,2024,1,5,8,49,0,0,0,0,1
1,0.064380813,0.001262854,11,12,22,4523,0,2024,1,5,9,3,0,1,0,0,0
1,0.12666423490789713,0.000180408,0,10,20,4426,0,2024,1,5,9,10,0,0,0,0,1
1,0.047966441728980486,0.003157135,7,10,19,4515,0,2024,1,5,9,58,0,1,0,0,0
1,0.12666423490789713,0.0023453,0,10,20,4566,0,2024,1,5,10,22,0,1,0,0,0
1,0.080977567,0.002074689,11,5,10,8808,0,2024,1,5,10,50,0,1,0,0,0
1,0.20390297282509576,0.002525708,2,10,20,4411,0,2024,1,5,11,15,0,1,0,0,0
1,0.10404887835126755,0.002525708,2,9,18,4503,0,2024,1,5,11,56,0,1,0,0,0
1,0.10404887835126755,0.001984485,8,18,27,4428,1,2024,1,5,12,14,0,0,0,0,1
1,0.1118913,0.001894281,0,10,20,4553,0,2024,1,5,12,59,0,0,0,0,0
1,0.20390297282509576,0.010102832401226773,0,10,20,4492,0,2024,1,5,13,23,0,0,0,1,0
1,0.20390297282509576,9.020386072523904e-05,8,10,20,4415,0,2024,1,5,14,1,0,0,0,0,1
1,0.064380813,0.003698358,2,10,20,0,0,2024,1,5,14,10,0,0,0,0,0
1,0.10404887835126755,0.002525708,2,9,18,4428,0,2024,1,5,14,14,0,1,0,0,0
1,0.12666423490789713,0.003698358,2,18,28,0,1,2024,1,5,14,16,0,1,0,0,0
1,0.12666423490789713,0.002525708,4,0,0,4539,0,2024,1,5,14,44,0,0,0,0,1
1,0.20390297282509576,0.000270612,7,5,10,8173,0,2024,1,5,15,41,0,1,0,0,0
1,0.047966441728980486,0.000902039,4,0,0,4447,0,2024,1,5,15,44,0,0,0,0,1
1,0.064380813,0.000721631,5,0,0,4547,0,2024,1,5,15,45,0,0,0,0,1
1,0.064380813,0.001443262,2,10,20,4578,0,2024,1,5,16,55,0,0,0,0,1
1,0.20390297282509576,0.001443262,2,10,20,4437,0,2024,1,5,16,59,0,0,0,0,1
1,0.1118913,0.006675086,4,9,19,4604,0,2024,1,5,17,33,0,0,1,0,0
1,0.1118913,0.000541223,4,10,20,4522,0,2024,1,5,17,44,0,0,0,0,1
1,0.10404887835126755,0.007667328,0,10,20,4503,0,2024,1,5,17,57,0,0,0,0,0
1,0.10404887835126755,0.007667328,0,10,20,4503,0,2024,1,5,18,1,0,0,0,0,1
1,0.12666423490789713,0.001533466,8,10,20,4546,0,2024,1,5,18,6,0,1,0,0,0
1,0.080977567,0.000631427,3,3,7,8728,0,2024,1,5,18,8,0,0,0,0,1
1,0.12666423490789713,0.020566480245354502,8,25,35,4482,1,2024,1,5,19,24,0,1,0,0,0
1,0.1118913,0.006675086,8,10,20,4554,0,2024,1,5,19,28,0,0,1,0,0
1,0.035290899,0.010824463287028685,0,10,20,4501,0,2024,1,5,20,15,0,0,1,0,0
1,0.20390297282509576,9.020386072523904e-05,7,10,20,8205,0,2024,1,5,20,32,0,1,0,0,0
1,0.20390297282509576,0.000451019,2,52,62,4496,1,2024,1,5,20,40,0,1,0,0,0
1,0.20390297282509576,0.000451019,2,22,23,4498,1,2024,1,5,20,40,0,1,0,0,0
1,0.12666423490789713,0.000180408,11,9,19,4497,0,2024,1,5,20,55,0,0,0,1,0
1,0.10404887835126755,0.002435504,7,10,20,4594,0,2024,1,5,21,0,0,0,0,0,0
1,0.15548057632682838,0.001804077,4,15,25,4417,0,2024,1,5,21,9,0,0,0,0,1
1,0.1118913,0.006675086,4,15,25,4604,0,2024,1,5,21,37,0,0,0,1,0
1,0.15548057632682838,0.008388959,0,5,10,4523,0,2024,1,5,22,0,0,0,0,0,1
1,0.15548057632682838,0.006494678,2,13,23,4439,0,2024,1,5,22,25,0,0,1,0,0
1,0.15548057632682838,0.004329785,8,10,20,4528,0,2024,1,5,0,50,0,1,0,0,0
1,0,0.002615912,6,0,0,4558,0,2024,1,5,1,10,0,0,0,1,0
1,0.12666423490789713,0.004690601,11,0,0,4600,0,2024,1,5,1,46,0,0,0,0,0
1,0.15548057632682838,0.010734259426303445,11,0,0,4439,0,2024,1,6,3,18,0,1,0,0,0
1,0.20390297282509576,9.020386072523904e-05,7,10,20,8302,0,2024,1,6,4,1,0,0,0,0,1
1,0.010760532555170527,0.000270612,3,30,60,3349,1,2024,1,6,4,32,0,1,0,0,0
1,0.20390297282509576,0.001984485,8,10,20,8217,0,2024,1,6,4,51,0,0,0,0,0
1,0.20390297282509576,9.020386072523904e-05,7,9,18,8185,0,2024,1,6,5,23,0,1,0,0,0
1,0.20390297282509576,0.001894281,3,9,18,8199,0,2024,1,6,6,24,0,0,0,0,1
1,0.1118913,0.022911780624210717,11,0,0,4420,0,2024,1,6,7,29,0,0,0,0,0
1,0.031825643,0.010102832401226773,0,10,20,4509,0,2024,1,6,8,41,0,0,0,0,1
1,0.20390297282509576,0.004239581,7,10,20,4520,0,2024,1,6,8,41,0,0,0,0,1
1,0.1118913,9.020386072523904e-05,7,8,16,4491,0,2024,1,6,9,20,0,0,0,1,0
1,0.15548057632682838,0.005682843,0,5,10,4580,0,2024,1,6,10,1,0,0,0,0,1
1,0.20390297282509576,0.001082446,8,9,18,8201,0,2024,1,6,10,53,0,0,0,0,1
1,0.080977567,0.001623669,8,6,12,8081,0,2024,1,6,11,16,0,0,0,0,0
1,0.20390297282509576,0.001533466,3,9,18,4507,0,2024,1,6,11,52,0,0,0,1,0
1,0.15548057632682838,0.006494678,8,10,20,4600,0,2024,1,6,12,0,0,1,0,0,0
1,0.12666423490789713,0.000360815,7,10,20,4452,0,2024,1,6,12,39,0,1,0,0,0
1,0.10404887835126755,0.000360815,2,10,0,4530,0,2024,1,6,12,45,0,1,0,0,0
1,0.20390297282509576,0.001713873,8,12,24,4406,0,2024,1,6,12,59,0,1,0,0,0
1,0.035290899,0.007216309,8,8,16,4514,0,2024,1,6,13,0,0,0,0,1,0
1,0.1118913,0.022911780624210717,2,18,28,4432,1,2024,1,6,13,54,0,0,1,0,0
1,0.035290899,0.007216309,8,8,16,4443,0,2024,1,6,14,3,0,0,0,1,0
1,0.20390297282509576,0.005502436,7,9,18,8217,0,2024,1,6,14,55,0,0,0,0,1
1,0,0.004329785,8,0,0,4436,0,2024,1,6,15,7,0,0,1,0,0
1,0.20390297282509576,0.004329785,8,10,20,4439,0,2024,1,6,15,7,0,0,1,0,0
1,0.20390297282509576,0.005773047,8,10,20,4429,0,2024,1,6,15,10,0,1,0,0,0
1,0.20390297282509576,0.006494678,0,10,20,4504,0,2024,1,6,15,53,0,0,0,0,1
1,0.1118913,0.003698358,8,8,16,4450,0,2024,1,6,15,58,0,0,1,0,0
1,0.12666423490789713,0.000811835,7,10,20,4570,0,2024,1,6,17,9,0,0,0,0,1
